instance,run,algorithm,seed,GD,IGD,runtime_s,nd_size,best_cost,best_makespan
sdmk05,1,EDA-TS,20270409,0.0,0.0,1.4808399677276611,5,2786.0,100.0
sdmk05,1,EDA,20270409,18.24828759089466,259.73442242747853,0.8239872455596924,1,3165.0,118.0
sdmk05,1,NSGA-II,20270409,59.92597474367515,227.15478653972377,0.17620182037353516,7,3118.0,117.0
sdmk05,1,EDA-VNS,20270409,37.75505852789059,214.21912493021364,1.9094254970550537,3,3098.0,106.0
sdmk05,1,H-GA-TS,20270409,29.300511940920074,162.26944414754954,2.198101758956909,5,3040.0,110.0
sdmk05,2,EDA-TS,20270410,0.0,1.063014581273465,1.0592999458312988,9,2829.0,100.0
sdmk05,2,EDA,20270410,69.16285130039101,64.07348033508099,0.4483165740966797,2,3130.0,119.0
sdmk05,2,NSGA-II,20270410,128.98992208695995,177.3428755072072,0.12763309478759766,5,3265.0,113.0
sdmk05,2,EDA-VNS,20270410,15.550991393905834,43.09356141843444,1.453031301498413,6,3020.0,107.0
sdmk05,2,H-GA-TS,20270410,0.0,83.96225669290888,2.1670360565185547,1,3055.0,107.0
