instance,run,algorithm,seed,GD,IGD,runtime_s,nd_size,best_cost,best_makespan
sdmk05,1,EDA-TS,20270409,37.17082189029454,3.0463092423455636,1.6012706756591797,10,2767.0,98.0
sdmk05,1,EDA,20270409,94.88648188464174,253.0832675398301,0.6035158634185791,6,3102.0,111.0
sdmk05,1,NSGA-II,20270409,72.69112738154499,183.7557687178076,0.14741253852844238,1,3039.0,105.0
sdmk05,1,EDA-VNS,20270409,83.26041601505484,133.5091265589575,2.202350378036499,8,2982.0,107.0
sdmk05,1,H-GA-TS,20270409,10.124228365658293,67.31172070755133,3.0803020000457764,2,2910.0,95.0
sdmk05,2,EDA-TS,20270410,0.0,3.2427804427682116,1.4059536457061768,7,2767.0,97.0
sdmk05,2,EDA,20270410,93.5426224895487,244.24477075741473,0.5957372188568115,3,3095.0,117.0
sdmk05,2,NSGA-II,20270410,55.37993770310689,249.45882744616966,0.1458606719970703,4,3126.0,110.0
sdmk05,2,EDA-VNS,20270410,41.63006725913375,93.78934594165399,1.9579715728759766,4,2924.0,109.0
sdmk05,2,H-GA-TS,20270410,8.5,30.458520298572584,3.238725185394287,2,2845.0,112.0
