instance,source,cost,makespan
sdmk05,EDA-TS,2786.0,123.0
sdmk05,EDA-TS,2915.0,105.0
sdmk05,EDA-TS,2850.0,113.0
sdmk05,EDA-TS,2829.0,115.0
sdmk05,EDA-TS,3162.0,100.0
sdmk05,EDA-TS,3159.0,100.0
sdmk05,EDA-TS,3138.0,103.0
sdmk05,EDA-TS,3138.0,103.0
sdmk05,EDA-TS,2829.0,116.0
sdmk05,EDA-TS,3138.0,103.0
sdmk05,EDA-TS,3138.0,103.0
sdmk05,EDA-TS,3047.0,114.0
sdmk05,EDA-TS,3138.0,103.0
sdmk05,EDA-TS,3138.0,103.0
