instance,run,algorithm,seed,GD,IGD,runtime_s,nd_size,best_cost,best_makespan
sdmk05,1,EDA-TS,20270409,4.085612733110993,3.3333333333333335,106.85170936584473,55,2753.0,87.0
sdmk05,1,EDA,20270409,26.92582403567252,85.6189239155459,37.938878297805786,1,2779.0,95.0
sdmk05,1,NSGA-II,20270409,91.20375540513669,199.3428346937152,12.386898279190063,4,2955.0,95.0
sdmk05,1,EDA-VNS,20270409,0.0,67.50020576100326,100.83502173423767,5,2753.0,88.0
sdmk05,1,H-GA-TS,20270409,42.73673561970511,78.13706250586485,105.53999733924866,7,2788.0,95.0
sdmk05,2,EDA-TS,20270410,13.48169312003192,3.0,105.78350067138672,45,2753.0,87.0
sdmk05,2,EDA,20270410,11.510864433221338,278.9096368275579,50.160871505737305,2,2759.0,100.0
sdmk05,2,NSGA-II,20270410,69.53739267179807,142.17568348038287,17.758028507232666,7,2940.0,96.0
sdmk05,2,EDA-VNS,20270410,0.0,284.0070421662111,101.62382364273071,1,2753.0,90.0
sdmk05,2,H-GA-TS,20270410,23.57111862292697,56.86022727214189,113.8327124118805,13,2806.0,109.0
