instance,pair,mean_c_ab,mean_c_ba
sdmk05,EDA-TS_vs_no_m,1.0,0.0
sdmk05,EDA-TS_vs_no_mn,1.0,0.0
sdmk05,EDA-TS_vs_no_n,0.16666666666666666,0.3555555555555555
