instance,pair,mean_c_ab,mean_c_ba
sdmk05,EDA-TS_vs_no_m,1.0,0.0
sdmk05,EDA-TS_vs_no_mn,0.75,0.0
sdmk05,EDA-TS_vs_no_n,0.8571428571428572,0.0
