instance,algorithm,mean_GD,mean_IGD
sdmk05,EDA-TS,0.0,1.1119128475850864
sdmk05,EDA-TS_no_m,18.54981697815001,58.05504283004994
sdmk05,EDA-TS_no_mn,13.188312854145048,62.9515224032652
sdmk05,EDA-TS_no_n,15.635157133137522,21.975779667117788
