instance,run,pair,c_ab,c_ba
sdmk05,1,EDA-TS_vs_no_m,1.0,0.0
sdmk05,1,EDA-TS_vs_no_n,1.0,0.0
sdmk05,1,EDA-TS_vs_no_mn,1.0,0.0
sdmk05,2,EDA-TS_vs_no_m,1.0,0.0
sdmk05,2,EDA-TS_vs_no_n,0.7142857142857143,0.0
sdmk05,2,EDA-TS_vs_no_mn,0.5,0.0
