instance,run,algorithm,seed,GD,IGD,runtime_s_total,nd_size
sdmk05,1,EDA-TS,20270409,0.0,0.0,3.0275866985321045,4
sdmk05,1,EDA-TS_no_m,20270409,24.646388060818254,59.97208784788558,3.0275866985321045,3
sdmk05,1,EDA-TS_no_n,20270409,25.606249237246754,25.23112853473749,3.0275866985321045,5
sdmk05,1,EDA-TS_no_mn,20270409,21.426878239984262,77.30186785427777,3.0275866985321045,3
sdmk05,2,EDA-TS,20270410,0.0,2.2238256951701727,2.9989657402038574,7
sdmk05,2,EDA-TS_no_m,20270410,12.453245895481762,56.1379978122143,2.9989657402038574,6
sdmk05,2,EDA-TS_no_n,20270410,5.664065029028288,18.720430799498086,2.9989657402038574,7
sdmk05,2,EDA-TS_no_mn,20270410,4.949747468305833,48.60117695225263,2.9989657402038574,2
