instance,source,cost,makespan
sdmk05,EDA-TS,2499.0,95.0
sdmk05,EDA-TS,2243.0,98.0
sdmk05,EDA-TS,2505.0,86.0
sdmk05,EDA-TS,2504.0,94.0
sdmk05,EDA-TS,2393.0,103.0
sdmk05,EDA-TS,2370.0,104.0
sdmk05,EDA-TS,2522.0,92.0
sdmk05,EDA-TS,2243.0,106.0
sdmk05,EDA-TS,2438.0,94.0
sdmk05,EDA-TS,2418.0,98.0
sdmk05,EDA-TS,2393.0,103.0
