algorithm,run,seed,runtime_s,nd_size
EDA-TS,1,20260429,102.75005865097046,5
NSGA-II,1,20260429,14.689024686813354,10
EDA-TS,2,20260430,101.43994855880737,6
NSGA-II,2,20260430,14.675353288650513,5
