instance,competitor,metric,Wm,p_value,win,n_runs
sdmk05,EDA,GD,16.0,0.2621926024067731,=,10
sdmk05,EDA,IGD,3.0,0.014432823938841821,+,10
sdmk05,NSGA-II,GD,0.0,0.005921537024148549,+,10
sdmk05,NSGA-II,IGD,0.0,0.005921537024148549,+,10
sdmk05,EDA-VNS,GD,4.0,0.019058891601730465,-,10
sdmk05,EDA-VNS,IGD,6.0,0.03231291124324431,+,10
sdmk05,H-GA-TS,GD,19.0,0.4148230671847748,=,10
sdmk05,H-GA-TS,IGD,0.0,0.005921537024148549,+,10
